date	open	high	low	close	volume
2018-02-15	139.7900000	140.9900000	137.0600000	137.0600000	29.054.840
2018-02-16	137.8500000	139.4900000	136.7700000	137.0600000	24.628.330
2018-02-19	137.3600000	138.7000000	137.1300000	138.3100000	14.431.390
2018-02-20	138.7800000	144.2900000	138.7800000	141.3200000	62.769.320
2018-02-21	140.9000000	144.0000000	140.5300000	144.0000000	24.886.450
2018-02-22	143.4300000	145.9700000	142.6300000	145.9700000	29.870.140
2018-02-26	148.0700000	149.9800000	146.4200000	147.0000000	37.150.990
2018-02-27	147.2000000	147.4900000	144.8500000	146.5000000	24.771.080
2018-02-28	145.5000000	145.7500000	142.2500000	143.1600000	36.217.520
2018-03-01	141.0000000	142.0000000	139.3900000	140.1000000	47.285.230
2018-03-02	139.6300000	140.5900000	137.7700000	138.5700000	26.799.640
2018-03-05	138.8000000	141.8300000	138.5700000	141.6000000	23.220.830
2018-03-06	142.2500000	143.4900000	140.4700000	140.5900000	24.358.140
2018-03-07	139.9600000	139.9800000	137.3800000	138.5600000	28.189.860
2018-03-09	138.8000000	139.8100000	137.7900000	139.8100000	12.080.580
2018-03-12	140.4400000	141.9600000	140.1100000	141.3500000	16.899.310
2018-03-13	141.1000000	142.9300000	139.9500000	142.7500000	22.899.860
2018-03-14	141.8200000	141.9800000	138.8000000	138.8000000	31.765.180
2018-03-15	138.5800000	140.0600000	138.0000000	138.2500000	34.232.460
2018-03-16	138.6600000	141.0000000	137.1100000	141.0000000	42.459.720
2018-03-19	141.2000000	141.7700000	139.4300000	139.9100000	21.582.910
2018-03-20	140.2500000	142.7000000	139.3100000	142.4500000	25.931.850
2018-03-21	142.7000000	144.0000000	140.8400000	141.5100000	31.141.240
2018-03-22	141.7300000	142.0800000	139.2000000	139.5000000	20.677.700
2018-03-23	138.7800000	142.4900000	137.8200000	142.0000000	33.554.360
2018-03-26	142.0100000	142.0800000	138.2700000	138.2700000	27.556.030
2018-03-27	139.2300000	141.7000000	139.0100000	140.8000000	25.427.090
2018-03-28	140.0100000	141.6700000	139.1300000	140.4700000	21.273.130
2018-03-29	140.7100000	142.8000000	140.7100000	142.8000000	23.762.490
2018-03-30	143.0000000	143.3100000	142.0500000	142.3300000	8.337.160
2018-04-02	142.3900000	143.7000000	140.3200000	140.3200000	18.501.160
2018-04-03	140.3200000	141.3000000	139.7000000	141.1300000	13.758.480
2018-04-04	141.0200000	141.5200000	139.0200000	140.1800000	22.247.310
2018-04-05	140.6600000	141.3500000	139.8000000	140.5000000	20.436.610
2018-04-06	140.1300000	141.9700000	139.4500000	141.5000000	27.346.240
